id,kickoff_time,team_home,team_away,score_home,score_away,status,location,stage,group,
53,2026-06-23 13:00:00+00,Portugal,Uzbekistan,,,scheduled,Houston,Group Stage,Group K,
54,2026-06-23 16:00:00+00,England,Ghana,,,scheduled,Boston,Group Stage,Group L,
55,2026-06-21 21:00:00+00,New Zealand,Egypt,,,scheduled,Vancouver,Group Stage,Group G,
56,2026-06-21 18:00:00+00,Uruguay,Cabo Verde,,,scheduled,Miami,Group Stage,Group H,
57,2026-06-22 20:00:00+00,Norway,Senegal,,,scheduled,New York / New Jersy,Group Stage,Group I,
58,2026-06-22 23:00:00+00,Jordan,Algeria,,,scheduled,San Francisco Bay Area,Group Stage,Group J,
59,2026-06-23 22:00:00+00,Colombia,Congo DR,,,scheduled,Guadalajara,Group Stage,Group K,
60,2026-06-23 19:00:00+00,Panama,Croatia,,,scheduled,Toronto,Group Stage,Group L,
61,2026-06-26 23:00:00+00,Egypt,IR Iran,,,scheduled,Seattle,Group Stage,Group G,
62,2026-06-26 20:00:00+00,Cabo Verde,Saudi Arabia,,,scheduled,Houston,Group Stage,Group H,
63,2026-06-26 15:00:00+00,Norway,France,,,scheduled,Boston,Group Stage,Group I,
64,2026-06-27 22:00:00+00,Algeria,Austria,,,scheduled,Kansas City,Group Stage,Group J,
65,2026-06-27 19:30:00+00,Colombia,Portugal,,,scheduled,Miami,Group Stage,Group K,
66,2026-06-27 17:00:00+00,Panama,England,,,scheduled,New York / New Jersy,Group Stage,Group L,
67,2026-06-26 23:00:00+00,New Zealand,Belgium,,,scheduled,Vancouver,Group Stage,Group G,
68,2026-06-26 20:00:00+00,Uruguay,Spain,,,scheduled,Guadalajara,Group Stage,Group H,
69,2026-06-26 15:00:00+00,Senegal,Iraq,,,scheduled,Toronto,Group Stage,Group I,
70,2026-06-27 22:00:00+00,Jordan,Argentina,,,scheduled,Dallas,Group Stage,Group J,
71,2026-06-27 19:30:00+00,Congo DR,Uzbekistan,,,scheduled,Atlanta,Group Stage,Group K,
72,2026-06-27 17:00:00+00,Croatia,Ghana,,,scheduled,Philadelphia,Group Stage,Group L,
